"","custid","region","townsize","gender","age","agecat","birthmonth","ed","edcat","jobcat","union","employ","empcat","retire","income","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","address","addresscat","cars","carown","cartype","carvalue","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenure","card2tenurecat","carditems","cardspent","card2items","card2spent","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","lujo_si"
"909","3292-NHKPUC-JVO","5","4","0",79,"6","Septiembre",10,"1","6","0",35,"5","1",11,"1",9.6,0.118272,0.937728,"0","4","1",10,"1",2,2,0,0,0,0,0,0,2,"0","2",31,"5",2,"0","1",4.7,"1","0","0","1","1",24,"1","0","0","1","0","0","0","1","0","0","4","5","0","0","0","3","2","1","0",38,5,"4","1","1","0",29,5,5,52.83,0,0,"0","2",70,"0",28.45,1820.05,"1",48,3284.9,"0",0,0,"1",37.5,2625,"0","0",0,"0","0","1","0","1","1","1","1","0","1",21,"1","1","1","0","0","0","0","0","1","0","0","0","0"
"910","5175-ALHRGN-KAA","1","1","1",49,"4","Noviembre",13,"2","6","0",18,"5","0",38,"2",5.6,1.03208,1.09592,"0","4","1",17,"4",2,6,0,1,0,0,0,0,5,"0","3",17,"4",2,"1","1",14.5,"1","1","0","3","2",22,"0","0","1","0","1","0","0","1","0","0","9","4","0","0","0","3","1","3","0",31,5,"2","4","3","0",27,5,7,151.13,3,48.98,"1","2",69,"0",29.3,2053.75,"1",23.75,1529.35,"0",0,0,"1",9.25,635,"0","0",0,"1","0","0","0","1","0","1","1","0","1",19,"1","1","1","0","0","0","0","0","1","0","0","0","0"
"911","5067-CTUQVG-TFM","4","3","0",18,"2","Enero",13,"2","5","0",0,"1","0",13,"1",2.7,0.067041,0.283959,"1","2","0",-1,"-1",2,6,0,0,0,0,0,0,6,"0","2",0,"1",2,"1","0",9.4,"1","0","0","8","4",26,"0","0","1","1","0","0","0","1","0","0","9","4","1","0","0","2","4","1","0",0,1,"5","2","1","1",0,1,7,196.36,1,18.92,"1","3",5,"1",4.45,14.95,"0",0,0,"1",23.65,101.05,"0",0,0,"0","0",0,"0","0","0","4","1","0","0","0","1","1",23,"1","0","0","0","1","0","1","0","0","0","0","0","0"
"912","4685-EXMRPC-AHT","2","5","1",20,"2","Agosto",15,"3","6","0",0,"1","0",24,"1",17.1,0.311904,3.792096,"1","1","1",13,"2",5,2,1,1,0,0,0,0,0,"1","3",1,"1",2,"0","1",16.4,"1","1","0","8","4",28,"0","0","1","0","0","0","0","1","0","0","4","1","1","1","0","3","1","1","0",2,2,"4","4","1","0",2,2,13,207.96,4,52.72,"1","1",28,"0",8.5,221.55,"1",11.25,353.85,"1",37.15,1030.65,"1",17,490,"1","23.9",636.9,"1","0","0","1","0","1","0","0","1","1",24,"1","1","1","0","1","1","1","1","1","0","0","0","0"
"913","0652-RYSBNB-4NU","1","2","1",63,"5","Septiembre",10,"1","2","0",11,"4","0",34,"2",2.9,0.13311,0.85289,"0","5","1",12,"2",2,6,3,3,0,0,0,0,0,"0","2",15,"3",1,"1","0",20.6,"2","1","0","5","3",27,"0","0","0","1","1","0","0","0","0","0","9","4","0","0","1","2","4","2","0",22,5,"3","3","4","0",15,4,10,287.03,5,154.14,"1","2",40,"0",5.15,171.85,"0",0,0,"0",0,0,"1",16.5,620,"0","0",0,"0","0","0","0","0","0","0","0","0","1",15,"1","1","1","0","1","0","0","0","1","0","0","0","0"
"914","1098-DOZXBN-JSH","3","3","0",67,"6","Marzo",14,"2","2","1",16,"5","0",114,"4",5.9,4.30464,2.42136,"0","2","1",8,"1",2,3,3,0,0,0,0,0,0,"1","1",25,"4",2,"1","1",48.5,"3","1","0","1","1",28,"1","0","0","1","0","1","0","0","0","1","9","6","1","1","1","1","4","1","0",15,4,"4","1","2","0",7,3,14,1165.17,5,570.49,"1","2",35,"0",7.75,261.7,"0",0,0,"1",22.15,806.15,"0",0,0,"0","0",0,"1","0","0","3","0","0","0","0","0","1",27,"1","1","1","0","1","0","1","0","0","0","0","0","1"
"915","0198-WSNPJB-YZP","4","4","1",73,"6","Enero",10,"1","6","0",28,"5","1",9,"1",8.4,0.046116,0.709884,"0","3","1",12,"2",2,0,0,0,0,0,0,0,0,"1","1",26,"5",3,"0","0",4.3,"1","0","0","1","1",28,"1","0","1","0","1","0","0","0","0","0","9","6","0","0","0","5","1","1","1",35,5,"3","3","4","1",25,5,10,143.89,0,0,"1","2",65,"0",25,1560.55,"0",0,0,"0",0,0,"1",11.5,720,"0","0",0,"1","0","0","0","0","1","1","0","0","1",19,"0","0","0","0","0","0","0","0","1","0","0","0","0"
"916","3438-TIXFPQ-4I6","3","4","1",64,"5","Junio",11,"1","3","0",27,"5","0",116,"4",7.3,1.73594,6.73206,"0","5","1",8,"1",2,0,0,0,0,0,0,0,0,"0","2",33,"5",2,"1","1",60.9,"3","1","0","1","1",30,"1","0","0","0","0","0","0","0","0","0","9","4","0","0","0","4","1","3","1",33,5,"3","4","1","0",24,5,9,203.31,3,87.67,"0","2",61,"0",8.2,457.6,"0",0,0,"0",0,0,"1",10,590,"0","0",0,"1","0","0","0","1","1","0","0","1","1",23,"1","1","1","0","1","1","1","0","1","0","0","0","1"
"917","0305-HLODEN-3UF","5","5","0",38,"4","Agosto",18,"4","1","0",7,"3","0",105,"4",12.1,5.74266,6.96234,"0","5","0",-1,"-1",1,7,0,1,0,0,0,0,6,"0","1",10,"3",2,"1","1",52.7,"3","1","0","5","3",26,"0","0","0","0","1","0","0","0","0","0","9","3","0","1","1","4","2","2","0",13,4,"1","3","1","0",8,3,10,693.3,7,390.34,"0","3",34,"0",12.55,395.15,"0",0,0,"1",29.85,936.05,"0",0,0,"0","0",0,"0","0","1","2","0","0","0","0","1","1",19,"1","1","1","0","1","1","1","0","0","0","0","0","1"
"918","8346-VQWOHD-RDX","2","3","1",26,"3","Agosto",18,"4","6","0",1,"1","0",18,"1",13.7,0.707742,1.758258,"0","4","0",-1,"-1",1,6,1,1,0,4,0,0,0,"1","4",4,"2",3,"0","1",11.7,"1","0","0","1","1",29,"1","0","0","0","0","0","0","0","0","0","4","3","0","0","0","1","2","1","0",8,3,"4","4","2","0",6,3,8,191.04,7,203.82,"0","1",16,"1",6.7,114.05,"1",22,342.5,"1",39.35,594.15,"1",11,145,"1","26.45",414.35,"1","1","0","0","1","1","1","1","0","1",17,"1","1","0","1","1","1","1","0","0","0","1","0","0"
"919","1220-OBCQPF-HFH","5","1","0",69,"6","Enero",17,"4","3","1",17,"5","0",46,"2",13.1,2.633362,3.392638,"0","5","0",-1,"-1",1,2,0,2,0,0,0,0,0,"0","2",37,"5",2,"1","0",12.4,"1","0","1","8","4",22,"1","0","0","0","0","0","0","1","0","0","9","3","1","1","0","2","2","1","0",21,5,"3","3","2","0",14,4,15,228.27,3,44.95,"0","3",46,"0",6.65,287,"1",27.25,1287.25,"0",0,0,"1",8.5,375,"0","0",0,"1","1","1","1","1","1","1","1","0","1",18,"1","1","1","0","1","0","0","0","1","0","0","0","0"
"920","0206-LHHZYR-TK2","1","1","0",34,"3","Abril",19,"4","6","1",2,"2","0",52,"3",4.3,0.802724,1.433276,"0","2","0",-1,"-1",1,2,0,2,0,0,0,0,0,"1","1",13,"3",3,"1","0",28.3,"2","1","0","1","1",21,"1","1","1","1","0","0","0","0","0","0","9","6","1","1","1","4","1","2","0",15,4,"2","4","3","0",7,3,6,76.55,1,23.93,"1","1",32,"0",5.4,169.8,"0",0,0,"1",24.8,747.3,"0",0,0,"0","0",0,"1","0","0","3","0","0","0","0","0","1",19,"1","1","1","0","1","1","1","0","0","0","0","0","0"
"921","9088-RLQLGN-QEY","3","2","0",43,"4","Junio",15,"3","2","0",5,"2","0",62,"3",21.5,3.49246,9.83754,"0","3","1",12,"2",5,1,1,0,0,0,0,0,0,"1","1",16,"4",3,"1","1",21.3,"2","0","0","1","1",18,"1","1","0","0","0","0","0","0","0","0","4","4","0","0","0","3","2","2","1",19,5,"5","1","2","0",13,4,13,407.13,5,214.84,"1","1",48,"0",7.55,381,"1",32,1512,"1",46.2,2151.25,"1",17.5,790,"1","44.8",2067.55,"1","1","1","2","1","1","1","1","1","1",20,"1","1","1","1","1","1","1","0","0","0","0","1","0"
"922","9221-OXUFEY-119","1","2","1",47,"4","Enero",17,"4","2","0",4,"2","0",73,"3",1.5,0.303315,0.791685,"0","5","1",16,"3",3,5,0,0,0,0,0,0,5,"0","1",16,"4",6,"0","1",42.5,"3","0","1","1","1",26,"1","0","1","0","0","0","0","1","0","0","9","5","0","0","0","4","3","4","0",8,3,"1","4","2","1",9,3,13,432.87,5,208.96,"1","2",17,"0",11.4,207.6,"0",0,0,"1",34.25,572.85,"0",0,0,"0","0",0,"1","0","0","3","0","0","0","0","1","1",22,"1","1","1","0","1","1","1","0","0","0","0","0","1"
"923","7325-MQSIAL-PMN","3","5","1",32,"3","Julio",17,"4","6","0",4,"2","0",27,"2",24.1,3.286035,3.220965,"1","2","1",13,"2",2,2,0,2,0,0,0,0,0,"0","2",6,"2",1,"1","0",13.1,"1","0","0","1","1",27,"1","0","0","0","1","0","0","0","0","0","9","5","0","0","0","3","1","4","0",14,4,"5","2","2","0",13,4,6,108.39,10,292.35,"1","1",51,"0",14.35,724.75,"1",18.75,952.1,"0",0,0,"1",11.75,550,"0","0",0,"0","0","0","0","0","1","0","1","0","1",23,"1","1","1","0","1","1","0","0","1","0","0","0","0"
"924","9657-VOOLQE-XVR","1","5","0",48,"4","Julio",20,"5","1","0",8,"3","0",212,"5",14,10.44736,19.23264,"1","5","1",20,"5",2,1,1,0,0,0,0,0,0,"1","3",25,"4",2,"1","1",89.9,"3","1","0","8","4",24,"0","0","0","0","0","0","0","1","1","0","9","6","0","1","1","4","4","4","0",29,5,"1","4","1","0",26,5,10,265.74,3,97.81,"0","2",65,"0",10.75,712.35,"1",25.25,1746.2,"0",0,0,"1",23.75,1525,"0","0",0,"1","0","0","0","1","1","1","1","0","1",28,"1","1","1","0","0","0","0","0","0","0","0","0","1"
"925","8167-NCGHOE-896","2","2","1",34,"3","Mayo",15,"3","2","0",2,"2","0",49,"2",1.6,0.02744,0.75656,"1","3","1",18,"4",3,2,1,1,0,0,0,0,0,"1","1",9,"3",2,"1","0",28.2,"2","0","0","1","1",27,"1","0","0","0","1","0","0","0","0","0","9","4","0","0","0","2","1","1","0",7,3,"4","2","1","0",4,2,7,120.28,2,31.96,"0","3",17,"0",5.45,92.4,"1",15.5,246.45,"0",0,0,"1",21.25,335,"0","0",0,"0","1","0","1","1","0","1","1","0","1",20,"1","1","1","0","1","1","0","0","1","0","0","0","0"
"926","6447-RZSOGA-5TJ","5","4","1",33,"3","Septiembre",19,"4","2","0",1,"1","0",48,"2",12.3,1.783008,4.120992,"0","2","1",16,"3",6,4,3,1,0,0,0,0,0,"1","3",7,"2",3,"0","0",19.1,"1","0","0","1","1",28,"1","0","0","1","0","0","0","0","0","0","9","5","0","0","0","4","1","1","0",15,4,"1","2","2","0",14,4,7,185.9,4,136.22,"0","3",54,"0",7.7,453.15,"1",26,1466.65,"0",0,0,"1",21,1145,"0","0",0,"0","0","0","1","1","0","0","0","0","1",14,"1","1","1","0","1","1","1","0","0","0","0","0","0"
"927","2959-PMOTCQ-MAN","1","4","1",71,"6","Noviembre",14,"2","2","0",4,"2","1",9,"1",4.3,0.074691,0.312309,"0","4","0",-1,"-1",1,16,2,2,0,0,0,0,12,"0","2",24,"4",2,"1","1",4.5,"1","0","1","5","3",29,"0","0","0","0","1","0","0","0","0","1","9","5","0","0","0","2","2","2","0",30,5,"3","1","3","0",24,5,10,198.92,4,78.4,"1","2",70,"0",25.4,1797.85,"0",0,0,"0",0,0,"1",28.75,1900,"0","0",0,"1","0","0","0","1","0","0","1","0","0",0,"0","0","0","0","0","0","0","0","1","0","0","0","0"
"928","8108-TVOBQR-T28","2","4","0",47,"4","Noviembre",19,"4","2","1",6,"3","0",111,"4",4.2,2.484846,2.177154,"0","3","1",14,"2",5,0,0,0,0,0,0,0,0,"1","1",19,"4",2,"1","1",71.2,"3","1","0","8","4",26,"0","0","1","0","0","0","0","1","0","0","9","2","1","1","1","1","2","1","0",20,5,"4","1","3","0",11,4,9,266.19,6,268.02,"1","2",37,"0",7.5,308.9,"1",15.75,602.15,"1",41.3,1498.4,"0",0,0,"1","35.85",1238.6,"1","1","1","4","0","1","1","1","1","1",24,"1","1","1","1","1","0","1","1","0","0","0","0","1"
"929","4215-NCRPOV-WJH","5","4","0",45,"4","Agosto",20,"5","1","0",3,"2","0",58,"3",14.2,1.927224,6.308776,"0","2","1",17,"4",5,7,2,1,1,0,0,0,3,"0","4",22,"4",1,"1","0",26,"2","1","0","8","4",20,"0","0","0","1","0","0","1","1","0","0","9","6","0","0","1","4","1","4","0",3,2,"3","2","4","0",5,2,13,259.85,5,82.99,"1","2",13,"1",6.55,72.8,"0",0,0,"1",33.05,408.95,"0",0,0,"0","0",0,"1","1","0","2","1","0","1","0","1","1",24,"1","1","1","0","1","1","0","0","0","0","1","1","0"
"930","6049-GTRGBC-A8O","1","2","1",71,"6","Junio",16,"3","1","0",10,"3","0",54,"3",10,1.7388,3.6612,"0","4","0",-1,"-1",1,9,4,0,0,0,0,0,5,"0","1",29,"5",5,"1","1",23.5,"2","0","0","1","1",19,"1","0","0","0","1","0","0","0","0","0","3","3","1","1","1","4","2","3","1",32,5,"2","1","1","0",23,5,10,118.65,5,75.93,"1","3",66,"0",21.4,1556.35,"0",0,0,"0",0,0,"1",74.75,5050,"0","0",0,"0","0","0","0","0","0","0","0","0","1",15,"1","1","1","0","0","0","0","0","1","0","1","0","0"
"931","3317-TIXDZH-Y89","5","2","1",41,"4","Junio",11,"1","3","1",14,"4","0",55,"3",7.4,3.21937,0.85063,"0","5","1",14,"2",2,1,1,0,0,0,0,0,0,"1","1",11,"3",2,"1","1",34.1,"2","1","0","5","3",22,"0","0","0","0","1","0","0","0","0","0","9","4","1","0","1","1","4","4","1",13,4,"4","2","2","0",10,3,9,267.21,4,202.22,"0","3",35,"0",11.05,351.95,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","0","0","0","1",19,"1","1","1","0","0","0","0","0","1","0","0","0","0"
"932","8217-TTOBPD-QXG","4","2","1",65,"6","Septiembre",15,"3","6","0",27,"5","1",29,"2",6,0.81606,0.92394,"0","3","0",-1,"-1",1,7,1,0,1,0,0,0,5,"0","2",18,"4",2,"0","1",12.1,"1","1","0","1","1",33,"1","0","0","0","0","0","0","0","0","0","9","5","0","0","0","2","3","3","0",18,5,"5","1","3","0",12,4,12,371.72,2,35.62,"0","2",44,"0",5.35,235.9,"0",0,0,"1",40.65,1769.95,"1",15,590,"1","30.35",1278.95,"1","0","1","4","0","0","0","1","1","1",23,"1","1","1","0","1","1","1","1","0","0","0","0","0"
"933","5465-RCVVOV-5OE","2","3","0",76,"6","Noviembre",22,"5","2","0",9,"3","1",9,"1",3.7,0.04662,0.28638,"0","5","1",20,"5",2,12,1,0,0,0,0,0,11,"0","2",39,"5",2,"0","1",3.2,"1","1","0","1","1",23,"1","1","0","1","1","0","0","0","0","0","9","2","0","0","0","4","2","3","0",31,5,"2","4","4","0",21,5,12,156.48,2,31.19,"0","2",64,"1",24.55,1638.75,"0",0,0,"1",33.35,2188.45,"1",5.25,310,"1","27.8",1659.45,"1","1","0","2","0","0","0","0","1","0",0,"0","0","0","0","1","1","1","0","1","0","0","0","0"
"934","7659-SLZWCO-IW8","2","4","0",67,"6","Julio",16,"3","1","0",7,"3","0",39,"2",18.4,1.521312,5.654688,"0","4","1",16,"3",2,0,0,0,0,0,0,0,0,"1","3",45,"5",1,"1","0",19.5,"1","0","1","1","1",25,"1","0","0","1","0","0","1","0","0","1","9","4","0","0","0","4","2","2","1",33,5,"3","3","3","0",26,5,10,305.63,5,104.28,"0","2",70,"0",14.2,1043.35,"1",20.5,1417.1,"0",0,0,"1",22.5,1510,"0","0",0,"0","0","0","0","0","0","0","0","0","1",20,"1","1","1","0","1","0","0","0","1","0","0","0","0"
"935","4726-UUKTZM-V4K","3","1","0",63,"5","Diciembre",13,"2","2","0",11,"4","1",10,"1",9.4,0.15792,0.78208,"0","5","1",9,"1",2,2,2,0,0,0,0,0,0,"1","1",20,"4",2,"1","1",5.1,"1","1","0","1","1",19,"1","0","1","0","0","0","0","0","0","0","9","4","1","0","0","3","1","4","0",28,5,"5","1","1","1",25,5,12,199.94,6,76.82,"1","3",60,"1",22.55,1384.5,"0",0,0,"0",0,0,"1",31.5,1755,"0","0",0,"1","0","0","0","0","0","0","0","0","1",23,"0","1","1","0","0","1","0","0","1","0","0","1","0"
"936","9906-YUMMTT-90Q","5","3","1",53,"5","Abril",8,"1","1","0",10,"3","0",25,"2",6.8,0.7344,0.9656,"0","2","1",9,"1",3,0,0,0,0,0,0,0,0,"0","2",7,"2",3,"0","0",9.7,"1","0","1","1","1",23,"1","1","0","1","1","0","0","1","0","0","9","3","1","0","0","2","1","1","0",12,4,"5","4","1","1",7,3,8,123.04,5,73.59,"0","3",30,"0",6.35,187.05,"0",0,0,"0",0,0,"1",14.5,435,"0","0",0,"0","0","0","0","0","0","0","0","0","1",23,"1","1","1","0","0","0","0","0","0","0","0","0","0"
"937","6653-HWCEVB-MHU","4","3","1",41,"4","Febrero",11,"1","1","1",10,"3","0",40,"2",4.3,0.8858,0.8342,"0","2","1",16,"3",4,6,0,0,0,0,0,0,6,"0","2",13,"3",2,"0","0",15.1,"1","0","1","1","1",31,"1","0","0","0","0","0","0","0","0","0","9","4","0","0","0","2","4","1","0",13,4,"4","2","3","0",8,3,7,148.99,7,170.8,"1","3",19,"0",4.35,78.9,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","0","0","0","1",15,"1","1","1","0","0","0","0","0","0","0","0","0","0"
"938","4833-OONLQK-V96","2","1","1",77,"6","Abril",21,"5","6","0",31,"5","1",66,"3",20,6.0984,7.1016,"0","3","0",-1,"-1",1,7,1,0,0,0,0,0,6,"1","4",45,"5",0,"-1","-1",-1,"-1","-1","1","10","5",35,"0","0","0","0","0","0","0","1","0","1","9","4","0","0","1","2","3","4","0",38,5,"3","2","2","0",29,5,11,271.96,3,82.36,"1","1",72,"0",56.9,4290.7,"1",19,1480.5,"0",0,0,"1",58.25,4155,"0","0",0,"1","0","0","2","0","0","0","0","0","1",12,"1","1","1","0","1","0","0","0","1","0","0","0","0"
"939","9976-YGHFSH-GYQ","4","4","1",43,"4","Enero",16,"3","2","0",5,"2","0",58,"3",7.7,1.170092,3.295908,"1","3","0",-1,"-1",1,0,0,0,0,0,0,0,0,"0","2",8,"3",4,"1","1",30.2,"2","1","1","1","1",26,"1","0","1","1","0","1","1","0","0","0","9","1","1","1","1","2","3","2","0",1,1,"1","4","4","0",1,1,9,444.7,3,101.06,"0","3",1,"1",0.9,0.9,"1",16,16,"0",0,0,"0",0,0,"1","14.55",14.55,"0","0","0","0","1","1","0","0","0","1",17,"0","1","0","0","1","1","1","0","0","0","0","0","0"
"940","8951-XCUNDQ-GSX","2","1","1",66,"6","Agosto",17,"4","2","0",19,"5","0",109,"4",4.6,2.246272,2.767728,"0","4","0",-1,"-1",2,0,0,0,0,0,0,0,0,"1","1",16,"4",2,"1","1",55.5,"3","0","1","5","3",22,"1","0","0","1","1","0","0","0","0","0","9","7","1","0","1","4","1","4","1",14,4,"2","3","2","0",11,4,9,376.32,6,204.85,"1","2",33,"0",6.9,233.75,"0",0,0,"1",29.15,929,"0",0,0,"0","0",0,"0","0","0","1","1","1","0","0","0","1",28,"1","1","1","0","1","1","0","0","0","0","0","0","1"
"941","9197-GCTAAU-00Z","2","3","0",47,"4","Octubre",13,"2","3","0",10,"3","0",48,"2",6.9,1.550016,1.761984,"0","4","1",14,"2",3,0,0,0,0,0,0,0,0,"0","1",9,"3",3,"1","0",27.5,"2","1","0","7","4",34,"0","0","0","0","0","0","1","0","0","0","9","6","1","1","1","3","3","1","1",10,3,"5","4","4","0",10,3,12,154.71,8,205.82,"1","2",35,"1",9.5,292.9,"0",0,0,"0",0,0,"1",12,380,"0","0",0,"0","0","0","0","0","0","0","0","0","1",27,"1","1","1","0","1","1","0","0","0","0","0","0","0"
"942","9587-OELKTA-OVY","4","2","0",63,"5","Octubre",16,"3","1","0",13,"4","0",76,"4",7.2,1.761984,3.710016,"0","4","0",-1,"-1",1,8,0,0,0,0,0,0,8,"0","1",22,"4",1,"1","0",32.3,"2","1","0","5","3",28,"0","0","0","0","1","0","0","0","0","0","9","4","0","0","1","3","1","1","0",22,5,"4","4","4","1",19,5,8,238.53,7,210.47,"0","2",34,"0",5.95,181.6,"1",23.75,735.35,"0",0,0,"1",16.25,520,"0","0",0,"1","0","0","0","1","1","1","1","0","1",24,"1","1","1","0","0","0","1","0","1","0","0","0","0"
"943","7245-IQSJWH-NNJ","1","1","1",75,"6","Junio",14,"2","6","1",29,"5","1",22,"1",6,0.8844,0.4356,"0","3","1",11,"1",2,8,0,1,0,0,0,0,7,"1","3",5,"2",2,"1","0",11.8,"1","0","0","1","1",19,"1","0","0","0","0","0","0","0","0","0","9","7","1","1","0","2","2","1","1",36,5,"4","2","3","1",27,5,5,73.92,8,154.73,"0","2",66,"0",35.95,2315.45,"1",35.25,2404.55,"0",0,0,"1",26.75,1775,"0","0",0,"1","1","1","1","0","1","1","0","1","1",18,"1","1","1","0","1","0","0","0","1","0","1","0","0"
"944","6644-LTNAQB-HD3","2","1","0",37,"4","Diciembre",16,"3","6","0",10,"3","0",35,"2",8.7,2.268525,0.776475,"0","4","0",-1,"-1",1,2,0,0,2,0,0,0,0,"0","2",4,"2",3,"0","1",14.1,"1","0","0","1","1",29,"1","0","0","1","0","0","0","0","0","0","9","4","1","0","1","3","4","2","0",1,1,"2","3","1","1",1,1,9,213.31,1,42.89,"1","1",2,"0",8.55,15.5,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","1","1","1","1","1","0","1",20,"1","1","1","0","1","0","0","0","0","0","0","0","0"
"945","4683-VRQLDK-SUP","5","5","1",54,"5","Septiembre",9,"1","3","0",15,"4","0",77,"4",7.6,2.241316,3.610684,"0","3","0",-1,"-1",1,3,0,3,0,0,0,0,0,"1","1",24,"4",3,"1","1",47.3,"3","1","0","6","3",40,"0","0","0","1","0","1","0","0","0","0","9","3","0","0","0","3","1","4","0",32,5,"4","3","2","0",21,5,6,99.98,2,64.9,"1","2",63,"0",20.15,1282.4,"1",43.5,2865.85,"0",0,0,"1",29.5,1845,"0","0",0,"1","0","0","0","1","1","1","1","0","1",19,"1","1","1","0","1","0","1","0","1","1","0","0","1"
"946","7018-TGIZIP-DH5","4","2","1",27,"3","Diciembre",16,"3","2","1",0,"1","0",23,"1",5.4,0.232254,1.009746,"0","1","1",17,"4",6,3,0,1,0,0,0,0,2,"0","2",6,"2",3,"1","1",14.3,"1","0","0","1","1",23,"1","0","0","1","0","0","0","0","0","0","1","4","1","0","1","4","4","3","0",9,3,"3","4","4","0",9,3,12,311.45,8,220.18,"0","1",32,"1",7.6,248.65,"0",0,0,"1",31.5,996.8,"0",0,0,"0","0",0,"1","1","0","3","0","0","0","0","0","1",19,"1","1","1","0","1","1","1","1","1","0","0","0","0"
"947","9357-CBFHCN-N3K","5","5","1",34,"3","Julio",18,"4","2","0",0,"1","0",107,"4",3.6,1.005372,2.846628,"1","1","0",-1,"-1",1,10,0,0,0,0,0,5,5,"1","1",12,"3",3,"1","1",48.5,"3","1","1","1","1",26,"1","0","0","1","0","0","0","0","0","0","9","4","0","0","1","4","1","4","0",4,2,"3","3","4","0",3,2,8,261.46,4,96.32,"1","1",10,"1",2.75,29.5,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","0","0","0","1",25,"1","1","1","0","0","0","1","0","0","0","0","1","1"
"948","1636-AYARLK-IZN","4","4","1",28,"3","Noviembre",16,"3","1","0",1,"1","0",56,"3",16.1,5.490744,3.525256,"1","4","0",-1,"-1",1,6,1,0,0,0,0,0,5,"1","1",9,"3",4,"1","1",22,"2","0","0","1","1",34,"1","0","1","1","0","0","0","1","1","1","1","6","1","1","1","4","3","2","0",10,3,"2","3","1","0",6,3,5,103.67,1,21.39,"1","1",22,"0",4.3,107.15,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","1","0","1","1",19,"1","1","1","0","1","1","1","0","0","0","0","0","0"
"949","1813-DTHSFS-0BT","1","3","0",78,"6","Octubre",11,"1","6","0",40,"5","1",23,"1",9.3,0.767901,1.371099,"0","4","1",12,"2",2,6,0,0,0,0,0,0,6,"0","2",7,"2",0,"-1","-1",-1,"-1","-1","1","3","2",21,"0","0","1","0","1","0","0","1","0","0","9","6","0","1","0","3","4","2","0",25,5,"2","2","4","0",14,4,11,221.15,7,68.99,"0","2",49,"1",12.15,665.85,"0",0,0,"0",0,0,"1",8.75,410,"0","0",0,"0","0","0","0","0","0","0","0","0","1",25,"1","1","1","0","0","0","0","0","0","0","0","1","0"
"950","1138-TBQGGU-FHM","1","5","1",66,"6","Febrero",13,"2","3","0",16,"5","0",64,"3",6,0.74112,3.09888,"0","3","1",12,"2",2,5,2,0,0,0,0,0,3,"1","1",27,"5",2,"1","0",25.9,"2","0","1","1","1",28,"1","0","0","1","0","0","0","0","0","0","9","4","0","0","0","1","2","2","0",38,5,"4","1","4","0",30,5,11,250.33,8,122.72,"0","2",72,"0",44.15,3213.2,"1",32.5,2367.25,"0",0,0,"1",28.25,1985,"0","0",0,"1","1","1","3","1","1","1","1","0","1",22,"1","1","1","0","1","0","1","1","1","0","0","0","0"
"951","1159-OQCZSH-PRW","2","3","0",68,"6","Agosto",16,"3","2","0",8,"3","0",89,"4",4.3,2.418664,1.408336,"0","5","0",-1,"-1",1,7,1,0,0,0,0,0,6,"0","2",18,"4",5,"0","0",43.7,"3","1","0","1","1",22,"1","0","0","1","0","0","0","1","0","0","2","4","0","0","0","3","3","1","0",4,2,"4","4","1","0",3,2,10,308.68,10,399.79,"0","3",5,"1",5.65,20.6,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","0","0","0","1",19,"1","1","1","0","0","0","0","0","0","0","0","0","1"
"952","8671-YOYDNI-GOD","4","3","0",23,"2","Octubre",18,"4","5","0",0,"1","0",60,"3",13.5,1.2636,6.8364,"1","1","1",16,"3",2,0,0,0,0,0,0,0,0,"1","3",2,"1",2,"1","1",26.5,"2","0","0","1","1",32,"1","0","0","0","0","0","0","1","0","1","9","5","0","0","1","4","2","1","0",5,2,"3","1","1","0",3,2,15,352.92,5,142.16,"1","1",14,"0",8.35,123.6,"1",23,295.5,"0",0,0,"1",8.75,125,"0","0",0,"0","0","0","0","1","1","1","1","0","1",25,"1","1","1","0","0","0","1","1","1","0","0","0","0"
